brand,category_name,description,price,date_added,notes,sort_order
Hermitage Homes,PACKS,"Provide Single Storey Upgrade Package including:
- 2720mm high ceilings to a single storey
- Provide Evaporative Cooling with up to 8No. Outlets, to the whole single storey house in lieu of 1No. split system in Living Area
- Provide Laminate Laundry Cabinets and M0 Mineral Surface Benchtop in lieu of standard Trough and Steel Cabinet including:
  - 900mm wide x 580mm deep Laminate Cabinets with 1No. Doors
  - 20mm M0 Mineral Surface Benchtop with 20mm Square Edge
  - 1No.Posh Domaine Trough 45L Stainless Steel Trough
  - 900mm wide x 700mm high Category 1 Tiled Splashback above the Cabinet with approx. 600mm return
- Provide approx. 900mm wide x 660mm high x 320mm deep Laminate Overhead Cabinets",8500,2023-10-04,standard now 2590mm,1
Hermitage Homes,PACKS,"Provide Double Storey Upgrade Package including:
- 2720mm high ceilings to the Ground Floor and 2590mm high ceilings to the First Floor
- Provide Evaporative Cooling with 5No. outlets to upstairs only of a double storey in lieu of split system to the First Floor.
- Provide Laminate Laundry Cabinets and M0 Mineral Surface Benchtop in lieu of standard Trough and Steel Cabinet including:
  - 900mm wide x 580mm deep Laminate Cabinets with 1No. Doors
  - 20mm M0 Mineral Surface Benchtop with 20mm Square Edge
  - 1No. Posh Domaine Trough 45L Stainless Steel Trough
  - 900mm wide x 400mm high Category 1 Tiled Splashback
- Provide approx. 900mm wide x 660mm high x 320mm deep Laminate Overhead Cabinets and 900mm wide x 300mm high Category 1 Splashback Wall Tiles to the Laundry wall above Laundry Benchtop",5999,2023-10-04,standard now 2590mm,2
Hermitage Homes,PACKS,"Provide Kitchen Promotion Pack including:
- 40mm square edge to the Kitchen wall and island cabinets. Please note: M0 Mineral Surface benchtops over 3000mm in length will require a join in the benchtop. This join will be placed in the most inconspicuous position.
- 1No. Posh Solus MK3 Double Bowl Undermount Sink in Stainless Steel to the Kitchen in lieu of standard double bowl sink.
- 1No. Posh Solus MK2 Gooseneck Sink Mixer in Chrome to the Kitchen in lieu of standard Sink Mixer.
- 1No. 800mm wide x 900mm high Category 1 M0 Mineral Surface Waterfall End with 40mm Square Edging to either side of the Kitchen Island Benchtop if applicable, otherwise to one side of the Kitchen Island Benchtop.
- 1No. Capped water point to the Fridge space.
- 3No. Piatto 240 Black in Colour over Kitchen Island.
- Built in Domain 900mm Under Mount Rangehood (UMH90B).
- Category 1, colour on clear glass splashback to the Kitchen in lieu of wall tiles. Note: Refer to Colour Selection for colour. Glass has a green tinge to it, not 100% clear.",4999,2023-10-04,,3
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack for up to 2No. Wet areas including:
- Category 1 floor to ceiling wall tiles to 2No. Wet Areas (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to each shower up to 2No. showers
- Provide Posh Domaine Semi Inset Basin to all Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to all Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to all the showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to all the Toilets in lieu of standard",6999,2023-10-04,"Up to 2 wet areas (bathroom/ensuites), 2 basins, 2 basin mixers, 2 shower niches, 2 toilets and 2 Shower rails. 2 full height tiled areas",4
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack for up to 3No. Wet Areas (Co Living Designs) including:
- Category 1 floor to ceiling wall tiles to 3No. Wet Areas (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to each shower up to 3No. showers
- Provide Posh Domaine Semi Inset Basin to all Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to all Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to all the showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to all the Toilets in lieu of standard",10599,2025-03-14,"Up to 3 wet areas (bathroom/ensuites), 3 basins, 3 basin mixers, 3 shower niches, 3 toilets and 3 Shower rails. 3 full height tiled areas",5
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack to the Leon 22 GE including:
- Category 1 floor to ceiling wall tiles to Ensuite 1, 2, 3, 4 and 5 (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to Ensuite 2, 3, 4 and 5 showers
- Provide Posh Domaine Semi Inset Basin to Ensuite 2, 3, 4 and 5 Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to Ensuite 2, 3, 4 and 5 Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to Ensuite 2, 3, 4 and 5 showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to Ensuite 2, 3, 4 and 5  Toilets in lieu of standard",14999,2025-03-14,"Up to 5 wet areas (bathroom/ensuites) but consider Ensuite 1 only gets the full height tiling nothing else as it is a specificlly designed accessible room, 4 basins, 4 basin mixers, 4 shower niches, 4 toilets and 4 Shower rails. 5 full height tiled areas",6
Hermitage Homes,PACKS,"Provide Single Storey Kickstarter Package including:
- Provide Single Storey Upgrade Package including:
  - 2590mm ceiling height to Single Storey
  - 40mm Square Edge to M0 Mineral Surface Benchtops in Kitchen
  - Provide Evaporative Cooling, up to 8No. outlets, to Single Storey in lieu of 1No. Split System
  - 2No. external Lights to Façade
- Provide 1No. Capped water point to the Fridge space
- Provide 1No. additional Double GPO to the Kitchen Island (1No. total)
- Provide 1No. 2040mm high x up to 1800mm wide Sliding Door unit with 2No. Mirror Sliding Doors to Bed 2, Bed 3 & Bed 4 if applicable in lieu of standard hinged only doors (3No. Units total)",9500,,,7
Hermitage Homes,PACKS,"Provide downgrade pack to a single storey including:
- Provide standard laminate benchtop in lieu of M0 Mineral Surface benchtop
- Provide standard light points in lieu of LED lights
- Provide Cat 1 carpet in lieu of Cat 2
- Remove 1No. split system to the Living",-3000,,,8
Hermitage Homes,PACKS,"Provide downgrade pack to a double storey including:
- Provide standard laminate benchtop in lieu of M0 Mineral Surface benchtop
- Provide standard light points in lieu of LED lights
- Provide Cat 1 carpet in lieu of Cat 2
- Remove 1No. split system to the Living and 1No. to the Master (2No. Total)",-5000,,,9
Hermitage Homes,CEILING HEIGHTS,Provide 2720mm high ceilings in lieu of 2590mm to a single storey.,5000,,standard now 2590mm,1
Hermitage Homes,CEILING HEIGHTS,Provide 2590mm high ceilings in lieu of 2440mm to the first floor of a double storey.,4000,,,2
Hermitage Homes,CEILING HEIGHTS,Provide 2720mm high ceilings in lieu of 2590mm to the ground floor of a double storey.,5000,,standard now 2590mm,3
Hermitage Homes,EXTERNALS,"Provide Neutralizing to all Brickwork.
Note: For light coloured Bricks, the acid wash needs to be neutralized to help prevent iron staining, acid burning or vanadium staining.",220.00000000000003,,,1
Hermitage Homes,EXTERNALS,Provide a Re-Establishment Survey due to shared crossover.,1000,,,2
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 820mm wide PMAD Door with Obscure Glazing to the Front Entry in lieu of standard with Clear Glazing.,105,,,3
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 820mm wide PMAD Door with Translucent Glazing to the Front Entry in lieu of standard with Clear Glazing.,385,,,4
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 920mm wide PMAD Door with Clear Glazing to the Front Entry in lieu of 2040mm high x 820mm wide PMAD Door with Clear Glazing.,217,,,5
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 1020mm wide PMAD Door with Clear Glazing to the Front Entry in lieu of 2040mm high x 820mm wide PMAD Door with Clear Glazing.,375,,,6
Hermitage Homes,EXTERNALS,"Provide 1No. 2340mm high Front Entry Door in lieu of standard 2040mm.
Note: Requires 2720mm high ceilings.",440.00000000000006,,,7
